VITORIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
5   Feb.;;0;0;5;0;0;;0;0;;0;;0;1;5;;0;;0;0;2;;0;;;0;0;0;;1;0;;0;0;0;1;0;1;0;0;0;;0;0;;1;0;1;18;0;;
6   Feb.;;0;0;0;0;0;;0;0;;0;;0;9;24;;0;;0;0;3;;0;;;0;0;0;;1;0;;1;0;0;2;0;0;0;0;0;;0;0;;2;0;1;43;1;;
7   Feb.;;0;0;0;0;0;;0;0;;0;;0;1;22;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;2;0;1;29;0;;
8   Feb.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;;
9   Feb.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;1;0;0;0;0;0;;0;0;;0;1;0;7;1;;
10 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;;
11 Feb.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;1;0;;
12 Feb.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;4;0;;
13 Feb.;;0;0;5;0;0;;0;0;;0;;0;4;26;;0;;0;0;4;;0;;;0;0;0;;4;0;;3;0;0;3;1;0;0;0;0;;0;0;;6;0;1;57;0;;
14 Feb.;;0;0;5;0;0;;0;0;;0;;0;2;89;;0;;0;0;4;;0;;;0;0;0;;0;0;;1;0;0;3;0;0;0;0;0;;0;0;;3;0;0;107;0;;
15 Feb.;;0;0;0;0;0;;0;0;;0;;0;2;29;;0;;0;0;4;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;2;0;1;39;0;;
